标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
近地铁~、电梯中楼层~、不近马路~、安静舒适,230,33528,海珠,3室1厅1卫,68.6㎡,平层,塔楼,中楼层(共9层),暂无数据,60.13㎡,东,钢混结构,简装,,有,医院孙逸仙医院南院；商场华润新光商场晓港湾肉菜市场侨诚花园肉菜市场；2号线10号线广佛线；,公交：273路~、263路~、35路~、70路~、75路~、239路~、276路等等地铁：2号线东晓南站~、广佛线南洲站~、10号线
近地铁江南西A出口~、南向~、社区安静~、合适上车配套齐,165,30630,海珠,2室1厅1卫,53.87㎡,平层,板楼,中楼层(共9层),暂无数据,48.57㎡,南,钢混结构,其他,,,房子位于江南西商圈中间地段~、安静不吵~、300米去到新一城~、400米去到富力海珠城~、地理位置优越~、配套成熟。,小区400米有江南新村（骨伤科医院）公交车站~、有29路;53路;59路;186路;220路;270路;273路;489路;大学城专线3路;高峰快线55路;夜23路;夜37路~、200米距离是2号线江南西地铁站
赤岗三街 南向中层两房 户型方正 单边位 采光好,138,26991,海珠,2室1厅1卫,51.13㎡,平层,塔楼,中楼层(共8层),暂无数据,47.17㎡,南,钢混结构,简装,,,地铁：3号~、8号线客村站~、2站直达珠城~、8号~、12号线赤岗站~、4站直达琶洲~、小区门口就有公交站点~、去天河~、荔湾~、海珠西都方便。购物：赤岗路临街商铺~、六福广场~、四季天地~、丽影广场~、岭南广场~、肉菜市场~、生活商铺等。休闲：海珠湖~、广州塔~、美术馆等。,
赤岗苑 电梯两房 南向望花园 安静舒适,190,29559,海珠,2室1厅1卫,64.28㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,配套：医院：复大医院四二一医院省二人民医院银行：工商行农业行交通行市场：华润好又多中惠市场,交通出行：公交大唐路口20、69、130、184、190、226、464、763等多条公交线路途经此小区~、高峰快线39地铁：3号线大塘站8号线赤岗站客村站
中海观澜府(住宅) 4室2厅 西南,1538,96493,海珠,4室2厅2卫,159.39㎡,平层,板楼,低楼层(共38层),暂无数据,暂无,西南,钢混结构,精装,,有,,
贝壳甄选~、低密度社区~、次顶楼~、安静对流三房,1168,101004,海珠,3室1厅2卫,115.64㎡,平层,塔楼,高楼层(共11层),暂无数据,96.2㎡,南北,钢混结构,精装,,有,医院广东省第二人民医院三级甲等中国人民解放军陆军第七十四集团军军医院三级甲等等等购物六元素购物广场南丰汇广场保利广场等银行浦发银行中行工行建行农行等景点古港海珠区湿地公园等,会展世界城~、交通便利。紧靠城市主干道——新港东路~、距离8号线地铁站30米距离有轨电车200米还有多条公交车接驳
晓港地铁口 电梯两房两厅 大阳台 生活便利 业主诚出,324,35738,海珠,3室2厅1卫,90.66㎡,平层,塔楼,高楼层(共28层),暂无数据,暂无,东,钢混结构,简装,,有,公园：晓港公园~、海印公园市场：细岗市场~、泰宁市场医院：广医二院~、珠江医院商圈：中大商圈~、江南西商圈幼儿园：海鸥幼儿园~、晓港中马路幼儿园银行：中国银行~、建设银行~、农业银行~、工商银行~、邮政储蓄,地铁：8号线晓港、中大地铁站~、2/8号线昌岗地铁站~、2/11号线江泰地铁站公交：晓港新村公交站~、广医二院公交站~、晓港中马路公交站~、晓港公园公交站~、每天多路公交车过站~、出行便利
凤凰新村地铁 精装两房 有电梯位 南向两房 有阳台,168,27541,海珠,2室1厅1卫,61㎡,平层,塔楼,高楼层(共9层),暂无数据,55.72㎡,南北,钢混结构,其他,,,凤凰新村地铁~、沙园地铁站~、宝业路沙园市场广ba广场盒马鲜生乐峰广场。,
江南新苑　三期　南向 3房 大阳台,650,67253,海珠,3室1厅1卫,96.65㎡,平层,塔楼,中楼层(共31层),暂无数据,暂无,南,钢混结构,其他,,有,商场：100米处有农贸市场医院：省荣军医院~、广医二院银行:一公里内中农工建公园：中大校园~、晓港公园~、银行：有工商银行~、建设银行~、中国银行~、农业银行金融机构,地铁：中大站（8号线）10.11号线.在施工公交：省荣军医院站188路~、190路~、226路~、53路~、14路~、273路~、270路等多条路线。出门即新港西路主干道~、四通八达~、可到广州各大城区。
昌岗地段交通方便~、楼采光好~、户型通透~、南北对流,95,31541,海珠,1室0厅1卫,30.12㎡,平层,板楼,高楼层(共7层),暂无数据,26.74㎡,南,钢混结构,精装,,,出门就是昌小~、地铁宝岗站~、交通方便；广医二院~、珠江医院等双三甲医院~、医疗设施完善~、为你健康保驾护航~、医疗无忧；就有江南大戏院、生活市场、小吃店、餐饮店~、吃喝玩乐生活便利；瞬间可达沙园商圈、江南西商圈~、更可享精彩缤纷生活,地铁：距离8号线宝岗大道站150米左右~、距离2号线8号线交汇昌岗站340米左右公交：步行100米左右到昌岗路总站~、可搭乘10路、25路、197路、299路等等；步行370米左右到信和广场站~、可搭乘25路、44路、69路、70路、186路
近地铁~、交通便利~、视野宽阔~、采光充足~、配套设施齐全,179,25950,海珠,3室1厅1卫,68.98㎡,平层,板楼,中楼层(共6层),暂无数据,62.32㎡,南北,混合结构,简装,,,十三行时装~、新亚洲国际电子数码城~、南北广场~、富力金禧商务-商铺~、美宜佳(NO.9515店)~、南太日用工业品批发市场~、广州易传手机配件批发市场~、广州岭南国际电子数码广场~、粤景电子城~、华为客户服务(广州海珠宝岗店),滨江西路南华西路人民桥同福西洪德五巷聚龙大街厚德路洲头咀隧道龙珠街工业大道北公交站洪德路车站地铁同福西地铁
满五年~、交通便利~、配套完善~、户型方正近地铁,708,62979,海珠,3室2厅2卫,112.42㎡,平层,塔楼,高楼层(共27层),暂无数据,86.76㎡,东南,钢混结构,简装,,有,公园：庄头公园~、广州志愿者公园~、洲头咀公园~、晓港公园~、商场：乐峰广场~、盒马鲜生~、菜市场：沙园肉菜市场~、西华路市场~、革新菜市场~、钱大妈~、番薯藤~、等~、医院：南方医科大学珠江医院~、广州医科大学附属第二医院~、银行：工商银行~、中国银行~、农业银行,地铁：8号线和广佛线换乘站沙园~、公交站：工业大道北站~、沙园站~、广309A~、411~、52~、206~、288~、288A~、等
晓港湾原装电梯房 精装装修两房 居住舒适度高拎包入住,239,30408,海珠,2室2厅1卫,78.6㎡,平层,塔楼,高楼层(共23层),暂无数据,暂无,西南,钢混结构,精装,,有,小区配套丰富下楼就有三个肉菜市场小区隔壁就是大型海珠新都会广场三甲医院中山二院南院区距离小区200米广医二院过去地铁两个站楼下是地铁二号线十号线换乘站东晓南站直通天河广钢南站越秀白云生活便利,大型小区~、多条主干道提供自驾出行~、小区楼下有广佛线二号线十号线多个公交站~、出行方便
此房满五年~、楼层适中~、保养好~、可望广州塔~、有匙即睇,228,34772,海珠,2室2厅1卫,65.57㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,东,钢混结构,精装,,有,金碧小区位于海珠老城区~、东晓南金碧商圈~、以住宅区为主~、配套齐全~、一公里内有两所三甲医院~、中山大学附属第二医院南院区；一个社区医院。配套有新都荟广场~、盈熙广场~、新光~、华润#家~、盒马鲜生等,广佛石溪地铁站~、地铁二号线东晓南地铁站~、金碧花园站（公交车站）：{9、13、59、75、79、86、87、180、202、221、230、288、309、546、551、夜7、夜20、夜24等。9、13、59、75、79、86、87、180、202、221、230、288、309、546、551、夜7、夜20、夜24..
鸿运花园 南向大两房  采光视野好,245,30165,海珠,2室1厅1卫,81.22㎡,平层,塔楼,高楼层(共9层),暂无数据,73.93㎡,南,钢混结构,其他,,,购物：沃尔玛(客村店)、赤岗路蔬菜市场、南方购物、新港购物医疗：广东省第二人民医院、海军医院、海军421医院、中山医学院附属二门诊、岭南口腔专科医院、海员医院,交通路线：双地铁：3号线、8号线客村站。公交：69路、184路、190路、226路、130路、20路、14路、189路、206路、252路、264A路、37路
昌岗地铁 欧式花园 电梯1房1厅 东南望花园 适合老人家,210,48455,海珠,1室1厅1卫,43.34㎡,平层,塔楼,低楼层(共9层),暂无数据,35.68㎡,东南南,钢混结构,简装,,有,公园：晓港公园~、海印公园市场：细岗市场~、泰宁市场医院：广医二院~、珠江医院商圈：中大商圈~、江南西商圈幼儿园：海富幼儿园~、穗花幼儿园银行：中国银行~、建设银行~、农业银行~、工商银行~、邮政储蓄,地铁：2/8号线昌岗地铁站~、2/11号线江泰地铁站~、8号线宝岗地铁站公交：礼岗路公交站~、江南大道南公交站~、信和广场公交站~、每天多路公交车过站~、出行便利。
海城花苑 2室1厅 东,130,27642,海珠,2室1厅1卫,47.03㎡,平层,板楼,中楼层(共9层),暂无数据,暂无,东,钢混结构,简装,,,,
满五唯一 近同福地铁~、南北对流~、视野开阔~、采光通透,115,26352,海珠,2室1厅1卫,43.64㎡,平层,塔楼,中楼层(共8层),暂无数据,39.16㎡,东南,钢混结构,简装,,,十三行时装~、新亚洲国际电子数码城~、南北广场~、富力金禧商务-商铺~、美宜佳(NO.9515店)~、南太日用工业品批发市场~、广州易传手机配件批发市场~、广州岭南国际电子数码广场~、粤景电子城~、华为客户服务(广州海珠宝岗店),滨江西路南华西路人民桥同福西洪德五巷聚龙大街厚德路洲头咀隧道龙珠街工业大道北公交站洪德路车站地铁同福西地铁
满五唯一省个税~、楼层好~、配套设施齐全~、交通便利,540,58084,海珠,3室1厅1卫,92.97㎡,平层,塔楼,中楼层(共33层),暂无数据,73.3㎡,东南,钢混结构,简装,,有,燕汇广场.合生生活广场.信和广场.乐峰广场....；生活配套：盒马鲜生等~、南泰市场..沙园西华市场~、庄头公园~、.晓港公园；医疗配套：珠江医院~、省口腔~、广医二院；楼下有中国银行.农业银行.邮政银行~、生活配套成熟完善.,地铁有8号线（宝岗大道站D出口）283米~、可换乘广佛线（沙园站）和2号线昌岗地铁站~、未来有广州市首条环城线11号线江泰路地铁站在旁边。公交站有珠江医院总站~、南泰路西站~、宝岗大道站~、橡胶新村站~、翠宝路站~、珠江南景园总站。
祥庆小区 两房中楼层 马赛克外墙 大阳台 采光通风好,120,24550,海珠,2室1厅1卫,48.88㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东北,钢混结构,简装,,,广bai新一城、bai佳、新一佳医院：红会医院邮局：宝岗大道邮政储蓄所银行：建设银行、工商银行、农业银行、交通银行其他：宝岗球场、麦当劳、KFC、顺泰风味馆小区内部配套：停车场,【地铁】距离二号线市二宫站约900米~、市红会医院和堑口公交站~、公交线路也很多~、出行便利【环境】步行可到海幢寺和珠江江堤~、饭后散步好地方
鸿富大厦 2室1厅 东,298,46731,海珠,2室1厅1卫,63.77㎡,平层,塔楼,中楼层(共31层),暂无数据,暂无,东,钢混结构,精装,,有,,
满五少税费~、户型好~、风景好~、采光足~、视野无遮挡,400,59640,海珠,2室1厅1卫,67.07㎡,平层,塔楼,高楼层(共12层),暂无数据,55.8㎡,西,钢混结构,其他,,有,商圈配套：合生广场、珠江壹号（在建）、珠江纺织城、中大纺织城；2.医院：省荣军医院~、新海医院；3.生活配套：新滘肉菜市场；4.银行：有工商银行~、建设银行~、广州银行~、中国银行~、农业银行,地铁距离鹭江站1000米、客村站1000米。三横五纵效率路网（三横：新港路、新滘路、环城高速五纵：工业大道、东晓南路、广州大道、新光快速、华南快速）
金雅苑 东南向三房中高层 南北对流 精装修,378,50120,海珠,3室1厅1卫,75.42㎡,平层,塔楼,中楼层(共21层),暂无数据,暂无,南北,钢混结构,其他,,有,生活配套成熟~、衣食住行就在家楼下~、便利店~、肉菜市场~、快餐店餐饮店汇聚,
马赛克外墙南向2房 户型方正~、业主诚心放卖~、看房方便,160,23846,海珠,2室2厅1卫,67.1㎡,平层,塔楼,高楼层(共9层),暂无数据,60.6㎡,南北,钢混结构,其他,,,属于中型社区~、环境优美~、出入方便配套成熟~、交通方便~、有多条线路通广州其他区域,大院门口有怡乐村公交车站1、站2、晓港新村站:14路、53路、69路、80路、88路、93路、184路、188路、190路、197路、206路、208路、211路、250路、263路、270路等~、地铁8号线中大站与晓港站。
高层望江带主套3+1房~、花园小区管理好交通方便环境,1150,92967,海珠,3室1厅2卫,123.7㎡,平层,塔楼,高楼层(共32层),暂无数据,105㎡,西北北,钢混结构,其他,,有,该小区属于一线江景小区~、出门即达珠江边~、散步跑步锻炼身体~、赏晨景夜景都很棒~、距离海心桥上和广州塔近~、小区旁边有柏丽广场~、生鲜商铺~、农贸市场~、购物美食都方便,珠江广场公交：8路、11路、24路、83路、121路、131路、182路、204路广州塔地铁站：地铁3号线、APM线
小区环境管理~、产权清晰~、环境好~、近地铁大两房~、,128,33552,海珠,2室1厅1卫,38.15㎡,平层,塔楼,中楼层(共32层),暂无数据,28㎡,南北,钢混结构,精装,,有,商场：革新路肉菜市场~、龙导尾肉菜市场~、小区旁边就有市场购物方便~、大型商场乐锋广场~、新一城等！银行：交通银行、建设银行、中国银行、工商银行医院：广州红十字会医院,交通：地铁站2号线~、8号线~、大学城3线夜16夜32夜33~、10路;16路;25路。交通出行方便~、出门走路100米到达8号地铁~、四通八达~、上可以到达白云荔湾区~、东可以直达到琶洲通往天河区。
草芳苑 低层三房 户型方正 通风采光好,278,34772,海珠,3室1厅1卫,79.95㎡,平层,塔楼,中楼层(共9层),暂无数据,73.13㎡,南北,钢混结构,简装,,,滨江地区~、环境安静舒适~、风景宜人~、地段也好~、有连锁市场~、菜市场~、交通也方便。有完整的配套~、为提供舒适的环境小区~、是你生活居住的好选择。,交通便利~、2号线市二宫地铁站~、骑车500米可到达~、公交为江湾桥南站~、有很多线路直达越秀、天河、白云、荔湾等地区；小区旁有2个菜市场~、2家钱大妈~、1家华润、1家胜家~、距离广场家乐福1个公交站~、4大银行和中国移动都有
天悦高层看江单位大5房4套间 尊贵享受 南北对流,5700,199755,海珠,5室2厅3卫,285.35㎡,平层,塔楼,高楼层(共40层),暂无数据,230.61㎡,南北,钢混结构,精装,,有,一江一景三公园小区步行800米内南面有保利广场~、旺胜围广场等大型shoppingmall~、北面近珠江边有天幕广场~、消遣游玩举步即达~、西靠琶洲塔公园~、旁边就是六元素商场~、日常生活需求都能满足。,地铁:8号线和4号线完胜围站~、有轨电车琶洲塔站就在小区西侧~、西边有科韵路~、东边有环城高速~、开车出行也很方便~、未来还有车陂路-新港东路过江隧道。
精装修小单位 拎包入住 临江 地铁十号线旁边,167,50362,海珠,2室1厅1卫,33.16㎡,平层,塔楼,中楼层(共9层),暂无数据,28.77㎡,北,钢混结构,精装,,有,过马路就是珠江边。银行：工商银行~、农业银行~、中国银行~、建设银行商场：海联路市场新凤凰市场~、怡乐路市场。饮食：旺金鸽~、炳胜~、顺峰酒家~、肯德基~、冠记~、星巴克~、喜茶。公园：海印公园,小区旁边正在建地铁10号线滨江东站~、公交滨江东路站：11路、121路、121A路、131A路、131B路、24路、8路~、旅游公交2线等
花园小区 电梯小两房 满五唯一 3号线大塘 近海珠湖,132,29757,海珠,2室1厅1卫,44.36㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,有,购物：赤岗购物步行街纵横广场珠影广场饮食：赤岗北路四季天地饮食广场艺园路饮食步行街嘉宴海鲜酒家麦当劳肯德基娱乐：哈艺电影院城KPrtKtv市政单位：广州市自来水公司、广州煤气公司医院：省二医、中西结合医院财厅：建设银行、农业银行。,地铁：3/8/11号线大塘客村赤岗地铁站~、11号线是内环线贯穿天河海珠荔湾越秀天白云五大老城区目前土建工程累计完成90预计明年前通车通车后大塘地铁站预计距离600-700米未来可期公交：464~、264~、583~、76~、17~、79~、14~、18路等。
凤凰新村地铁200米 框架结构 户型方正,115,20522,海珠,2室1厅1卫,56.04㎡,平层,塔楼,中楼层(共9层),暂无数据,48.57㎡,西南,钢混结构,其他,,,房子位于工业大道北~、步行凤凰新村地铁站200米~、800米可到太古仓广州文化公园南方大厦十三行上下九步行街商圈~、800米内有洲头咀公园福龙东菜市场工商银行红十字会医院等,八号线凤凰新村地铁站200米~、200米内南田西车站和革新路口车站多条公交车线能让你方便到达广州各区
明珠花园  三房两卫 采光好 全新装修 拎包入住,336,33503,海珠,3室2厅2卫,100.29㎡,平层,塔楼,低楼层(共33层),暂无数据,暂无,西南,钢混结构,其他,,有,距离蟠龙市场400米海珠体育馆10米左右以后体育馆有大型游泳馆图书馆少年宫一系列政府配套设施,来10号线地铁口900米公交线路864、80、192、811、813等等去越秀区天河区番禺区都很方便
滨江东全新装修两房   总房款低轻松上车,250,63116,海珠,2室1厅1卫,39.61㎡,平层,塔楼,中楼层(共9层),暂无数据,31.05㎡,南,钢混结构,精装,,有,,
小区安静 环境好 满五年物业 户型方正,380,36043,海珠,3室1厅2卫,105.43㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,精装,,,配套有BAI佳~、怡乐综合肉菜市场~、新凤凰肉菜市场~、工商银行~、中山大学~、海印公园~、滨江东珠江风景区~、珠江水上乐园~、中大夜游码头~、广州塔~、生活便利~、配套完善~、规划10号地铁在建中。,地铁：8号线中大站~、公交站：祈乐苑、凤凰村、珠江泳场总站、海联路总站、中大北门西、省荣军医院(荣校)、怡乐村、珠江泳场.公交线路：11路、121A、121路、131A、131B、14路、178路、182路、184路、188路、190路、197路、206路、208路、211路、226路~、4..
此房益街坊 证满五年 方正实用 通风好 产权清晰,260,35793,海珠,3室1厅1卫,72.64㎡,平层,塔楼,低楼层(共32层),暂无数据,61.18㎡,西南,钢混结构,精装,,有,,
嘉鸿花园 原装电梯两房 装修新环境好 安静 拎包入住,199,41065,海珠,2室1厅1卫,48.46㎡,平层,塔楼,高楼层(共12层),暂无数据,暂无,东南,钢混结构,其他,,有,医院：孙逸仙纪念医院南院区~、珠江医院、海珠区红十字会医院银行：工商银行、建设银行、中国银行、广州银行、交通银行、中国邮政储蓄饮食：麦当劳、盛意美食小区：私家会所、心形按摩泳池、网球、高尔夫练习场、亲子种植园,嘉鸿花园站~、途经线路包括9、230、59、75、79、79A、546、夜7、夜20和夜24地铁：广佛线石溪站D口800米2号线东晓南站A口800米2号线和广佛线南洲A口750米
大院管理 中高层精致小两房 南北对流  单边位,130,28212,海珠,2室1厅1卫,46.08㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,北,钢混结构,精装,,,好又多在隔壁有7-11便利店丽影广场~、肯德基等。赤岗市场不过是两三的路程。东海堂、黄振龙、新华书店。就在楼下天池冲印（现在搬到港艺商务）饮食方便金苑、都城、三禾、绿茵阁、肯德基、盛宴旁边的艺苑南路是有名的饮食一条街,公交车：珠影站2~、途经线路包括14、69、93、190、206、226、229、250、270、272、505、大学城3线、夜29、夜37和夜45地铁：地铁8号线赤岗站、3号线客村站
中大旁 大院管理 远洋宿舍 ３房 南向,228,25737,海珠,3室2厅1卫,88.59㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,南,混合结构,其他,,,远洋宿舍小区闹中带静小区~、交通便利~、出行方便~、商场~、便利店：美宜佳、711等。医院：广医附二、荣军医院、怡乐门诊、广医附一海珠院区。,大院门口有怡乐村公交车站1、站2、14路、53路、69路、80路、88路、93路、184路、188路、190路、197路、206路、208路、211路、250路、263路、270路等~、地铁8号线中大站与晓港站。
赤岗二街2-22号 3室1厅 南,380,43429,海珠,3室1厅1卫,87.5㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,南,钢混结构,精装,,,,
侨诚花园 精装修两房  一楼直上电梯,165,30404,海珠,2室1厅1卫,54.27㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,南,钢混结构,其他,,有,商场：华润商场、好又多、国美、银行：工商、建设、中国、农业、交通银行医院：中山二院南院、石溪中医院、紫荆医院其他：麦当劳~、肯德基~、江南菜馆~、鸿星酒家~、天宝酒家~、鸣翠邮局,地铁：距离地铁2号线东晓南站147米（数据来源于地图）2.公交站：晓港湾公交站~、侨诚花园总站；线路：35路~、273路~、964路；70路；5路；82路；129路；263路；276路；766路；780路；961路；3.海珠客运站
东向 方正大2房 环境好~、近江边~、东向采光好,185,30378,海珠,2室1厅1卫,60.9㎡,平层,板楼,高楼层(共8层),暂无数据,54.06㎡,东南南,钢混结构,其他,,,,
电梯高层两房平层到~、满五年~、格局方正,185,26570,海珠,2室1厅1卫,69.63㎡,平层,塔楼,高楼层(共9层),暂无数据,63.36㎡,东,钢混结构,简装,,有,购物新村东肉菜市场红卫十社综合市场福满多购物广场石榴岗路店东峻综合市场华润优佳chao市大利家bai货天鸿bai货生活chao市渔乐行者渔具商行雅迪电动车石榴岗路店,公交车：赤岗(总站)~、大塘站~、石榴岗总站~、途经线路包括131A路、131B路、468路、93路、旅游3线。地铁：地铁8线赤岗站C1口。
东晓南 侨诚花园 电梯中层两房 户型方正 保养好,163,30036,海珠,2室1厅1卫,54.27㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,东,钢混结构,精装,,有,医院：三甲医院、中山二院孙逸仙纪念医院、珠江医院、石溪中医院~、大型商场：海珠新都荟广场、盈熙广场、华润van家、沃尔玛、肉菜市场：瑞宝肉菜市场、晓港VVan肉菜市场、侨诚肉菜市场等~、海珠智汇O2park创意园~、上涌果树公园~、海珠湖湿地公园。,三地铁：广州地铁2号线和在建10号线东晓南站300米~、地铁广佛线南洲站石溪站500米~、高铁站广州南站（5个地铁站）~、公交总站途经线路包括5、35、70、80、129、263、273、299、308、546、836、822号等线路畅达广州各区
马赛克外墙~、小两房 单边位~、光线通风好,102,21922,海珠,2室1厅1卫,46.53㎡,平层,板楼,高楼层(共6层),暂无数据,40.58㎡,南,钢混结构,简装,,,有沙园市场~、近沙园地铁~、乐锋广场~、新一城~、江南西宝业路医院,
金碧花园第一金碧 1室1厅 东南,139,35496,海珠,1室1厅1卫,39.16㎡,平层,塔楼,中楼层(共15层),暂无数据,暂无,东南,钢混结构,简装,,有,,
中楼层 南向实用两房~、大院管理,95,25490,海珠,2室1厅1卫,37.27㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,西南西,钢混结构,其他,,,银行：建设银行~、中国银行商场：合悦商场~、沃尔玛市场：康乐西贸菜市场~、钱大妈公园：晓港公园~、上涌果树公园医院：新海医院~、省荣军医院,公交车：中山大学站：途经有：250路~、226路~、270路~、53路~、14路~、188路~、190路~、263路等多线路。地铁：中大地铁站（8号线）
近地铁~、马赛克外墙~、框架结构~、视野开阔~、刚需上车盘,110,22578,海珠,2室1厅1卫,48.72㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,简装,,,银行：中国银行、建设银行、民生银行。商场：中大合悦、华润、合生广场、沃尔玛。公园：晓港公园~、上涌果树公园。市场：五凤肉菜市场、康乐村菜市场、钱大妈。医院：新海医院~、省荣军医院~、广医二院~、珠江医院。,公交：中山大学站~、途经有250路~、188路~、226路~、190路~、264路等多线路。地铁：中大站（8号线）~、中大南门站（10号线）、五凤站（11号线）
满五唯一~、户型方正~、业主诚意出,358,36961,海珠,3室1厅2卫,96.86㎡,平层,塔楼,高楼层(共17层),暂无数据,80.4㎡,南北,钢混结构,精装,,有,医院：三甲医院、中山二院孙逸仙纪念医院、珠江医院、石溪中医院~、大型商场：海珠新都荟广场、盈熙广场、华润van家、沃尔玛、肉菜市场：瑞宝肉菜市场、晓港VVan肉菜市场、侨诚肉菜市场等~、海珠智汇O2park创意园~、上涌果树公园,小区门口就是地铁东晓南站双地铁：广州地铁2号线（和在建10号线）~、1公里内还有广佛线石溪站~、高铁站广州南站（5个地铁站）~、汽车站：海珠客运站~、公交总站途经线路包括5、35、70、80、129、263、273、299、308、546、836、822号等线路畅达广州各区
海珠湾 次新房高层  西南向望江单位,508,59367,海珠,3室2厅2卫,85.57㎡,平层,塔楼,中楼层(共50层),暂无数据,暂无,西南,钢混结构,精装,,有,公园：庄头公园距离小区500米医疗：广州医学院第二附属医院、南方医科大学珠江医院（三甲医院）配套：华润、华新方圆333广场；保利红棉肉菜市场、广纸肉菜市场、石溪肉菜市场；中国银行、工商银行、建设银行等等,地铁：双地铁配套~、广佛线燕岗站~、11号环城线棣园站公交：纸厂邮局站（29~、31~、230~、963~、469号公交）~、纸厂总站（29~、469~、544~、夜32号线）~、纸厂横马路总站（230号线）
海珠湾靓盘再现~、三房二卫靓楼层靓朝向,468,49425,海珠,3室1厅2卫,94.69㎡,平层,塔楼,低楼层(共50层),暂无数据,暂无,东南,钢混结构,其他,,有,公园庄头公园距离小区500米医疗广州医学院第二附属医院南方医科大学医院三甲医院配套华润华新方圆333广场保利肉菜市场广纸肉菜市场石溪肉菜市场中国银行工商银行建设银行等等,地铁：双地铁配套~、广佛线燕岗站~、11号环城线南石路站公交：纸厂邮局站（29~、31~、230~、963~、469号公交）~、纸厂总站（29~、469~、544~、夜32号线）~、纸厂横马路总站（230号线）
光大水岸榕城4期 南向大4房 采光好 绿意盎然 诚心卖,980,67919,海珠,4室2厅2卫,144.29㎡,平层,塔楼,低楼层(共17层),暂无数据,121.32㎡,东南,钢混结构,精装,,有,中国银行~、工商银行~、农业银行公园：志愿者公园~、庄头公园~、太古仓市场：海珠区沙园市场~、光大榕景市场~、永旺~、盒马生鲜~、钱大妈~、肉联帮~、番薯藤等等。购物：凯德乐峰广场~、新一城~、江南西商圈,公交车：243路;489路;963路;967路;995路.10路.9路.521路.79路.75路.B21路.16路地铁：8号线沙园地铁站~、广佛1号线沙园站
祥庆小区 两房轻松三房 采光通风舒适 间隔实用 可公积,188,27981,海珠,2室1厅1卫,67.19㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,其他,,,广bai新一城、bai佳、新一佳医院：红会医院邮局：宝岗大道邮政储蓄所银行：建设银行、工商银行、农业银行、交通银行其他：宝岗球场、麦当劳、KFC、顺泰风味馆小区内部配套：停车场,【地铁】距离二号线市二宫站约900米~、市红会医院和堑口公交站~、公交线路也很多~、出行便利【环境】步行可到海幢寺和珠江江堤~、饭后散步好地方
中海名都  方正两房 精装修两房 看花园,530,63163,海珠,2室1厅1卫,83.91㎡,平层,塔楼,低楼层(共39层),暂无数据,暂无,北,钢混结构,其他,,有,小区：会所~、游泳池~、网球场~、中式餐厅与西式餐厅；银行：中国银行~、广州银行~、建设银行~、工商银行；购物：好又多~、家乐福~、盒马~、华润Van家~、71（seveneleven）便利店~、OK便利店~、全家family便利店；医院：红十字会~、广医二院~、名都街滨江街社区,小区地下一层停车场新建楠武地下配建了2层停车场自驾可直接上内环和江湾路到琶洲25芬钟到珠江新城20芬钟番禺Van博30芬钟楼下有公交总站江湾桥南站乘坐地铁出西门到2号线市二宫站最近的是B出口
户型方正带大阳台 装修保养新净 通风采光佳 管理好,159,39800,海珠,1室0厅1卫,39.95㎡,平层,板楼,高楼层(共23层),暂无数据,30.85㎡,北,钢混结构,简装,,有,,在建有10号线~、现有的2号线地铁东晓南站~、楼栋到C2出口约100米~、坐地铁到南站、机场都很方便。公交车站；129路287路35路462路5路70路75路766路82路836路等等
一房一厅 中层 采光好 精装修 户型方正,118,35193,海珠,1室1厅1卫,33.53㎡,平层,塔楼,中楼层(共9层),暂无数据,28.63㎡,南,钢混结构,简装,,,购物：赤岗购物步行街、纵横广场、珠影广场；饮食：赤岗北路四季天地饮食广场、艺园路饮食步行街、嘉宴海鲜酒家、麦当劳、肯德基娱乐：哈艺电影院城、KTV等市政单位：广州市自来水公司、广州煤气公司医院：省二医、中西结合医院财厅：四大行~、等,地铁:客村站、赤岗站公交站:珠影站共有30多条线路可供你选择14路、37路、69路、(源江线131A路、131B路)、184路、190路、270路、226路、B7路、B7路快线、大学城专线、高峰路线：22路、39路、55路、59路、6路、74路夜车路线有：101路、29路、45路等
