店长推荐:户型方正~、配套齐全宜居住~、满二唯一税费低,325,39233,白云,3室2厅2卫,82.84㎡,平层,塔楼,低楼层(共32层),暂无数据,暂无,北,钢混结构,其他,,有,,距离3号线同和站1.5公里~、小区门口有公交车可直达地铁口~、距离华南快速同和收费站仅900米左右~、出行便利
此房装修很好~、采光通透~、户型方正,260,27095,白云,3室2厅1卫,95.96㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,简装,,有,购物有金铂天地~、雄洲城~、新天地~、嘉裕太阳城等大型商场~、医疗有南方医院~、一五七医院~、白云山医院等三甲医院~、楼下便利店8家~、平常生活所需小区内就能搞定,近地铁~、3号线同和站~、300米到c出口~、小区外100米有公交站点~、乘车方便。公交站旁边有共享单车~、出行换乘都方便。
广园新村 精装三房 户型方正 通风好,168,26457,白云,3室2厅1卫,63.5㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,,云苑菜市场柯子岭市场沃尔玛商场柯子岭菜市场云苑市场白云市场步行街车站地铁二号线飞翔公园站配套成熟小区有车位及步行200米即到交总站大型商场凯德广场五号停机坪等购物广场,地铁：2号线飞翔公园站~、在建11号12号地铁线~、公交车站有柯子岭公交站~、云龙路站~、盈翠华庭站~、云苑新村站~、白兰花园站~、广园新村站
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
户型方正~、南向三房看花园~、安静舒适,199,22829,白云,3室1厅1卫,87.17㎡,平层,塔楼,低楼层(共6层),暂无数据,77.09㎡,南,钢混结构,其他,,,400米到金国广场~、PASO广场~、马务菜市场~、卜蜂莲花~、家乐福等。餐饮：马务美食街~、马务广场。银行：邮政银行~、农商银行~、工商银行~、中国银行~、建设银行,出门有公交站马务站、126、519、556、259、563、280、265、742、254、夜班车等多条公交线路接驳到市区~、还有14号线马务站距离小区420米。
乐得花园 2房 安静望泳池 南向高层,180,24773,白云,2室2厅1卫,72.66㎡,平层,塔楼,高楼层(共15层),暂无数据,61.94㎡,南,钢混结构,其他,,有,小区出门步行600米可以到达黄边综合肉菜市场~、便利店、饮食店、水果店~、小区内有泳池~、天猫小店、生活方便,从小区门口步行1300米到地铁二号线黄边站~、从小区门口步行50米到公交车站~、途径的公交有425~、58~、743~、274~、984
凯云新世界~、板楼改善大户型~、低密度~、大花园,680,46411,白云,3室1厅3卫,146.52㎡,平层,板楼,低楼层(共22层),暂无数据,暂无,南,钢混结构,其他,,有,有步行街市、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有云门商场~、商场内有电影院~、东海酒家~、盒马生鲜等；小区有四大银行~、华夏银行~、民生银行~、平安银行~、招商银行等,岭南新世界西北方向就有嘉禾望岗地铁站有2号线、3号线、14号线~、东南方向还有白云大道北地铁站有3号线交通便利
商圈好房：怡新精装三房东南向看园林采光好诚意出,568,48651,白云,3室2厅2卫,116.75㎡,平层,塔楼,高楼层(共17层),暂无数据,97.91㎡,东南,钢混结构,精装,,有,小区楼下有钱大妈便利店等~、有菜市场~、旁边就是金茂广场和广垦天河壹号商场~、小区2公里内有三家三甲医院南方医科大学南方医院、三九脑科医院、广东省妇幼保健医院。,小区交通便捷~、门口50米距离就是地铁三号线梅花园地铁口~、公交站路线多~、南可达市区~、北可往机场~、小区东侧在建的18号线高速地铁预计26年开通~、届时双地铁~、出行更便利。
南向直厅两房~、满五唯一~、采光通风好交通便利。,118,17950,白云,2室1厅1卫,65.74㎡,平层,塔楼,高楼层(共9层),暂无数据,56.68㎡,东南,钢混结构,其他,,,,小区门口就是在建的十三号线二期松溪地铁站~、距离也就200米~、门口也有公交车站
大型生活社区 新靓装修 拎包入住 3房全明房 格局方正,145,24940,白云,3室1厅1卫,58.14㎡,平层,塔楼,低楼层(共8层),暂无数据,暂无,西南,钢混结构,精装,,,配套:房子楼下就有公交车站~、新建的12号线景云路站就在云苑直街的尽头；白云山~、广州体育馆~、广州市儿童公园~、白云区王达广场2号线飞翔公园地铁口800米~、11~、12号线在建~、走路一刻钟都可以到,新建的12号线景云路站就在云苑直街的尽头；白云山~、广州体育馆~、广州市儿童公园~、白云区王达广场2号线飞翔公园地铁口800米~、11~、12号线在建~、走路一刻钟都可以到
电梯中层~、满五唯一~、户型方正~、得房率高~、生活便利,110,23596,白云,2室1厅1卫,46.62㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,,交通：12号线景云路站~、11号线大金钟站~、2号线飞翔公园站购物：越秀·广源汇~、白云*达广场~、凯德广场买菜：白云市场、柯子岭肉菜市场休闲：三泰公园、白云山西南门风景区、广州市体育馆、云溪植物园、麓湖公园医院：石榴桥医院~、广州中医药大学附属yi..
百荣园~、中层两房~、东向~、业主诚意出卖！,140,21232,白云,2室2厅1卫,65.94㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,,
格局方正实用 步梯低楼层~、精装修很新净,85,24356,白云,1室1厅1卫,34.9㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,,,地铁2号线地铁站地铁8号线聚龙地铁站。公车:185路7路975路424路103路105路115路113路63路555路556路540路等等
泽德花苑~、满五唯一商品房~、二楼东向~、精装修~、近地铁,100,21534,白云,2室1厅1卫,46.44㎡,平层,塔楼,低楼层(共9层),暂无数据,41.5㎡,东南,钢混结构,其他,,,泽德花园配套：中国银行~、工商银行~、白云区中医院~、酒楼~、骏荣广场食街~、同德上步广场~、家私城~、菜市场、富康市场~、天记酒楼~、新景酒家~、215总站~、富康羽毛球场~、富贵旅馆~、泽德幼儿园~、横窖菜市场~、泽德中医院~、广州市中医医院（同德分院）~、广州白云站,公交：215路、17路、545路、832路、527路、524路、238路、175路、176路、196路、228路、539路、212路、241路等地铁：地铁八号线北延段聚龙站~、上步站
电梯楼 方正格局 客运站背后 业主异地要卖,143,21382,白云,2室1厅1卫,66.88㎡,平层,塔楼,中楼层(共9层),暂无数据,59.97㎡,东西,钢混结构,其他,,有,,小区门外有两个公交车站~、公交线路例如有12、42、46、283、290、291、521、527、114、885、478、B3、563等~、同时距离罗冲围客运站仅有50米~、交通方便~、满足你的日常出行
南悦花苑中层三房两厅放卖~、业主自住诚心,250,28103,白云,3室2厅1卫,88.96㎡,平层,塔楼,低楼层(共33层),暂无数据,70.15㎡,东,钢混结构,精装,,有,,
龙景楼 两房一厅 原装电梯 户型方正 近13号线西洲站,200,21974,白云,3室2厅1卫,91.02㎡,平层,塔楼,高楼层(共17层),暂无数据,77.22㎡,东南,钢混结构,其他,,有,小区500米内有配套龙骏广场~、同时邻近江南水果批发市场~、东旺国际食品批发市场等数个批发市场~、亦有多个物流园适合相关工作人员置业~、上班方便,公交521、259、424、527、705、830、839、夜3等。地铁13号线西洲站在建设中~、距离小区400米~、预计23年开通！
白云区人和镇龙湖天柱120平方四房两厅两卫改善型,350,28988,白云,4室2厅2卫,120.74㎡,平层,板塔结合,高楼层(共16层),暂无数据,98.85㎡,南北,钢混结构,其他,,有,小区在人和18号线地铁口~、有华通商场~、菜市场~、酒店~、四大银行~、中医院白云分医院~、流溪河公园~、娱乐休闲场地华通广场白云新天地（建设中）医疗:三甲广州中医药大学附属医院白云分院,离地铁口200米~、18和22号线地铁在建设中~、26年开通~、门口有多条公交可以回市区和花都。近高速蚌湖出口~、人和出口~、双高速出口
云苑新村~、南向采光好~、地铁口100米~、电梯组织中,112,20079,白云,2室2厅1卫,55.78㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,,新建的12号线景云路站就在云苑直街的尽头；白云山~、广州体育馆~、广州市儿童公园~、白云区王达广场2号线飞翔公园地铁口800米~、11~、12号线在建~、走路一刻钟都可以到
星海花园 满五年 配套设施齐全 交通便利,247,25220,白云,3室2厅1卫,97.94㎡,平层,塔楼,低楼层(共27层),暂无数据,暂无,东,钢混结构,精装,,有,商场：广货、华润家、永旺梦乐城~、沙田广场~、永润广场~、金铂广场；公园：浔峰山森林公园、白云儿童公园；医院：金沙洲首家三甲-广州中医药大学附属医院~、横沙社区医院。银行：农业银行~、民生银行,在建地铁12号线里横路站离小区约800米~、小区楼下有便民车与658公交车~、都可到浔峰岗地铁站~、江边也有公交车站~、彩滨北路站~、290、55、12、276、283、885、429、830、42等16条公交线路。
岭南花园 南向 有私人大平台 带主套,320,34254,白云,3室1厅2卫,93.42㎡,平层,板楼,低楼层(共6层),暂无数据,暂无,东南,钢混结构,其他,,,,8号线地铁：同德站（步行）同德乡公交车站是广州交通网络重要站点之一~、经过同德乡的线路有134路~、175路~、176路~、179路~、17路~、17路短线~、196路~、212路~、215路~、215路长线~、228路~、238路~、241路~、524路~、527路~、539路~、543路~、545路~、62A路~、.
飞翔公园站民航小区南向大三房 单边位 户型方正,180,20577,白云,3室1厅1卫,87.48㎡,平层,塔楼,高楼层(共6层),暂无数据,暂无,南,钢混结构,其他,,,,地铁；2号线飞翔公园站~、步行600米~、未来14号线二期乐嘉路站开通~、步行300米
机场路电梯大两房 自住精装修房 户型方正 看房方便,198,24071,白云,2室1厅1卫,82.26㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东北,钢混结构,其他,,有,公园有街消防主题公园儿童公园消费娱乐距离1.5公里有广场距离3公里有5号停机坪购物消费~、小区方园500米有中国银行~、农业银行等等。,小区现有地铁二号线飞翔公园站~、步行700米左右~、另外预计2025年年底开通14号线二期~、2026年开通8号线远景路站。
云苑新村 格局方正 配套齐全 通风好采光好 楼下有公园,212,27866,白云,2室1厅1卫,76.08㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,,,地铁11/12号线即将开通~、公交站：广园新村公交站~、柯子岭公交站~、公交线路：479~、186~、284~、182~、36~、34~、265等二十多条公交线路~、可以去往天河~、越秀~、荔湾~、海珠~、番禺等地铁：2号线飞翔公园站
少有放盘 业主诚心卖 南向大平层 正规四房 看房方便,618,48460,白云,4室2厅2卫,127.53㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,南,钢混结构,精装,,有,,小区出来100多米就是广州白云火车站~、这边规划了6条地铁线~、也有十几条公交线路。离小区1.5公里有新市比较大型的综合体bai信广场~、这边有广baibai货~、永辉市场~、麦当劳~、肯德鸡等。离小区1.2公里有一个大型医院广东药科大学第三医院
云苑新村 平层电梯高层 三面单边 东南向2房,152,28138,白云,2室1厅1卫,54.02㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南南,钢混结构,简装,,有,社区有云苑菜市场、柯子岭市场、景泰白云市场、沃尔玛、景泰步行街、幼儿园。地铁二号线飞翔公园站。有雕塑公园~、三泰公园~、儿童公园等,公交站：广园新村公交站~、柯子岭公交站~、公交线路：479~、186~、284~、182~、36~、34~、265等二十多条公交线路~、2号线线飞翔公园地铁口800米~、11号线大金钟站或者是中医学院站300米~、12号线景云路站在建~、就在家门口。
白云雅苑  精装修 收租神器 楼龄新 楼距宽  近地铁,81,21828,白云,1室1厅1卫,37.11㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,,八号线聚龙E出口有聚荟广场；有白云区同德医院、长乐医院、广州市中医院~、平时看病比较方便~、有银行工商银行、农业银行、农村信用合作社、邮政储蓄,8号线聚龙E公交：17路、175路、196路、212路、215路、228路、238路、527路、545路、823路（横滘站
采光通风都会好.居住体验高.到地铁口也比较便利.,270,29795,白云,3室2厅1卫,90.62㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,地铁：三号线北延线。娱乐：太阳城广场~、佳润广场~、摩登商场等~、君华香柏广场。医疗：隔壁就是南方医院~、配套齐全。银行：工商银行~、建设银行~、农业银行~、中国银行~、广发银行。,
松溪花园 大面积总忦低  全明通透 厅卧错落有致,178,17607,白云,2室1厅1卫,101.1㎡,平层,平房,低楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,有,汇锦新天地广场~、肉菜市场~、麦当劳~、妇产科医院等配套设施~、生活娱乐比较方便,本小区旁边有两个地铁站在建地铁：十三号线二期罗冲围站以及松溪站~、出小区约300米左右就是公交总站~、出行方便
祥景花园 中层小面积 一手业主 产权清晰 随时可交易,63,19063,白云,1室1厅1卫,33.05㎡,平层,塔楼,中楼层(共9层),暂无数据,28.24㎡,南,钢混结构,其他,,,商场：白云汇广场、黄石家私大广场。医院：白云区人民医院、广州中医药大学附属医院、白云区黄石医院江夏门诊部。银行：建设银行、工商银行、农业银行、交通银行。其他：祥景综合市场,出小区门口10米就是祥景花园公交站途径：126.563.803.244.929.841.742.265.等等。地铁2号线江夏站或萧岗站。
恒大御府 中层两梯两户对流望花园 业主自住保养好,760,52353,白云,3室2厅2卫,145.17㎡,平层,板塔结合,中楼层(共17层),暂无数据,113.4㎡,东西,钢混结构,精装,,有,小区里100米就有京溪恒大肖区马路斜对就是天河广垦壹号广场。2公里范围内有金茂广场梅花园广场佳润广场香柏广场嘉裕太阳城广场以及金铂广场吃喝玩乐都能得到满足检查身体或体检也方便~、2公里内有三九脑科医院生军区157医院南方医院,距离3号线梅花园地铁站直线距离600米~、门口有公交站。旁边的沙太路就是广从高速路口~、以及正在建设着的地铁18号线京溪路站50米距离~出行交通很便利~、通达全城。
百荣园 云山名都三期电梯 东向望白云山 格局方正,300,35860,白云,2室1厅1卫,83.66㎡,平层,塔楼,低楼层(共18层),暂无数据,暂无,东,钢混结构,其他,,有,小区门口就有公交车站恒沙龙棠溪菜市场高田街菜市场bai信广场广baibai货凯德广场5号停机坪棠溪市场,出行方便~、小区门口就有公交车站~、途径线路有251路254路268路280路298路32路511路522路58A路58路757路807A路等多条公交车路线直达市区~、地铁站14号线二期岗贝站就在小区门口~、目前已经在动工~、预计2026年通车
精装修拎包入住~、正规一房一厅~、采光通风好,52,14397,白云,1室1厅1卫,36.12㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,,,广州地铁8号线聚龙站700米~、12号线/13号线槎头站在建~、预计2025年年底开通。公交175号线总站。
中楼层~、正南向~、望花园~、精装7米大阳台全落地,460,45509,白云,3室2厅2卫,101.08㎡,平层,塔楼,中楼层(共32层),暂无数据,暂无,南,钢混结构,简装,,有,,小区距离3号线地铁同和站1.5公里~、小区门口有公交车可直达地铁口~、距离华南快速同和收费站仅600米左右~、出行便利关
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
华为研发基地旁 方正实用3房 地铁口100米,180,22557,白云,3室2厅1卫,79.8㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,,,地铁13号线（在建）~、B3~、521~、527~、424~、259~、830~、198~、114~、839等
金域蓝湾 1室1厅 东南,165,35715,白云,1室1厅1卫,46.2㎡,平层,板楼,中楼层(共11层),暂无数据,暂无,东南,钢混结构,精装,,有,,
一梯两户南北对流南向阳台安静不吵精装修拎包入住,99,23931,白云,2室1厅1卫,41.37㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南,钢混结构,简装,,,楼下有儿园小孩方便有菜市场有商场购物方便有公园有电影院有游乐场娱乐,地铁11/12号线即将开通~、楼下有公交车~、附近有环城高速~、交通便利。
汇侨新城东区 户型方正 朝花园 安静 采光好,145,19696,白云,2室1厅1卫,73.62㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,汇侨车站公交车244A路807A路538路278路~、新市墟公车298路886路556路58路21路539路810路555路108路等等,汇侨车站公交车244A路807A路538路278路~、新市墟公车298路886路556路58路21路539路810路555路108路等等
通透对流  南向大阳台阳光直射,435,30723,白云,4室2厅2卫,141.59㎡,平层,板楼,低楼层(共11层),暂无数据,暂无,南,钢混结构,简装,,有,,公交：B6路862B路504路502路560路791路等地铁站：三号北延线同和站（距离小区仅1.8公里）
景云路 平安阁 双阳台一梯两户南北对流 有大院管理,250,25472,白云,3室2厅1卫,98.15㎡,平层,塔楼,中楼层(共9层),暂无数据,88.68㎡,南北,框架结构,其他,,有,房子距离白云山比较近~、平时去白云山爬山方便~、有柯子岭肉菜市场~、生活配套成熟~、交通方便。地铁11号线大金钟站已经在建设~、以后出行更加方便,小区门口即有公交站景云路站~、柯子岭牌坊站~、大金钟站~、地铁12号景云路~、11号线大金钟站已经在建设~、以后出行更加方便
汇侨新城南区 3室1厅 南,195,18936,白云,3室1厅2卫,102.98㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,南,钢混结构,其他,,有,,
卡布奇诺 3室1厅 北,268,30150,白云,3室1厅1卫,88.89㎡,平层,板楼,低楼层(共6层),暂无数据,74.21㎡,北,钢混结构,精装,,有,,
电梯房  房大客厅大~、方正实用~、交通便利~、阳光充足。,145,23049,白云,2室1厅1卫,62.91㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,小区外交通便利~、出门即上内环~、公交线广布市区内外、商行、饭店密布~、生活亦相当便利!小区2个公交站就是罗冲围客运站~、可达省内外众多城市~、也有多个公交总站~、几十条线可达市内各区~、出行十分便利~、旁设有幼儿园~、有各类士多店、酒家。,小区门口有两个公交站~、公交路线有：12路、42路、46路、283路、290路、291路、885路、839路、478路、B3路、563路、527路、521路、114路等~、距离罗冲围客运站600米~、交通方便。
峯境 方正两房 业主诚意卖 安静不吵  楼龄新,369,47687,白云,2室1厅1卫,77.38㎡,平层,塔楼,低楼层(共17层),暂无数据,暂无,西南,钢混结构,其他,,有,环境优越~、东靠白云山风景区~、南靠成熟的广园新村~、于白云新城咫尺之间~、地段好~、天赋地段~、市政府重金打造~、绿地央企集团~、新体育馆~、白云儿童公园~、云溪生态公园只需1公里左右。,小区门口有公交站台~、去到越秀天河荔湾花都都有多路公交经过~、交通出行方便~、地铁飞翔公园1500米~、高德地图已经显示规划地铁12号线小金钟站~、距离小区仅100米左右~、即将通车。
电梯两房~、视野光线好~、望白云站~、顶楼可使用,132,18441,白云,2室1厅1卫,71.58㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,有,小区距离地铁八号线聚龙地铁口600米~、门口有公交~、交通十分便利。聚龙商圈购物商场、星巴克、奈雪茶~、满足日常娱乐悠闲之需~、广州市中医医院(同德围分院,
白云山脚下南向三房生活配套齐全 白云畔山摩坊公,378,35912,白云,3室2厅2卫,105.26㎡,平层,塔楼,中楼层(共5层),暂无数据,暂无,西南,钢混结构,简装,,有,商圈：太阳城购物广场、隹润购物广场、梅花园广场、金泊广场、吉之岛、乐购、沃尔玛~、中国建设银行、中国农业银行、中国银行,地铁有3号线梅花园地铁~、步行大概800米左右~、离京溪南方医院步行大概900米左右；梅花园公交站~、路线：16、56、179、504、560、等
经典户型~、空间大而实用~、全明屋~、采 光 充 足~、,195,24146,白云,3室1厅1卫,80.76㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,中国银行~、工商银行~、白云区中医院~、酒楼~、骏荣广场食街~、骐利广场~、家私城~、菜市场~、富康市场~、天记酒楼~、新景酒家~、富康羽毛球场~、肯德基~、麦当劳广州爱禧国际影城。,楼下有公交车站~、729与212两路~、出西村与中山八。2、地铁8号线延长线（鹅掌坦站）~、直达琶洲、广交会。3、西村换乘5号线~、2+8个站到珠江新城
岭南新世界 大4房精装修 户型好,490,37291,白云,4室1厅2卫,131.4㎡,平层,塔楼,中楼层(共18层),暂无数据,108.4㎡,西南东北,钢混结构,精装,,有,有盒马生鲜~、711便利店OK便利店~、美发店~、美容院~、羽毛球馆~、篮球场~、足球场~、田径场~、会所等,岭南新世界位于广州2.3.14号线嘉禾望岗站~、公交车总站~、线路包括804.886.805.79920.922.926.509.66.803各线路
此房满五年中层望花园厅出阳台东南向业主诚心放卖,265,23036,白云,3室2厅2卫,115.04㎡,平层,塔楼,中楼层(共15层),暂无数据,暂无,东南,钢混结构,精装,,有,交通方便~、有祥景菜市场、四大银行、白云汇购物广场。~、江夏地铁口,地铁：2号线江夏站~、14号线马务站（25年左右开通）。公供交通:563、660、742、794、803、810、832、841、929、982、36、126、127、244、265、268、539、22路夜线244路短线空调291（内、外环）
远景路元凤华庭 电梯房楼龄新 近地铁,280,33740,白云,2室1厅1卫,82.99㎡,平层,塔楼,中楼层(共11层),暂无数据,暂无,南,钢混结构,其他,,有,银行有上海发展银行广州分行白云支行~、医院有广州中医药大学附属医院~、为出名的韩国街,交通配套都比较成熟~、生活配套有医疗~、公交站还可以直接坐到小区门口~、还有电瓶车可以接驳到地铁
此房满五年 厅直出阳台 安静 采光充足 小区环境好,138,16563,白云,2室1厅1卫,83.32㎡,平层,塔楼,高楼层(共6层),暂无数据,75.45㎡,南,钢混结构,简装,,,,凰岗总站：17路280路夜2路夜3路521路126路476路总站~、交通便捷
云苑大型生活社区 南北对流 中层3房 格局方正,169,23955,白云,3室2厅1卫,70.55㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东北,钢混结构,简装,,,配套:房子楼下就有公交车站~、新建的12号线景云路站就在云苑直街的尽头；白云山~、广州体育馆~、广州市儿童公园~、白云区王达广场2号线飞翔公园地铁口800米~、11~、12号线在建~、走路一刻钟都可以到,广园新村站479186284182~、12434~、540810~、189273265~、278~、63241等车站~、距离小区400米是地铁12号线地铁景云路站建设中
祥兴楼 电梯大三房  格局方正  双阳台 有钥匙方便看,188,17602,白云,3室2厅1卫,106.81㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,有,商场有：马务广场、尚佳广场、马务农贸肉菜市场、家通距离金国广场卜蜂莲花步行街200米~、距离bai信广场1000米。、马务幼儿园。银行：邮局、工商银行、农商银行、建设银行等,黄石路口站车251.254.268.274.280.291.291.298.32.510.511.519.523.528.555.556.58.803.807.810.832.840.886A.886.高峰快线5夜12夜22夜26夜35
天河御品 安静三房 户型方正 看房方便 新装修保养好,480,45559,白云,3室1厅1卫,105.36㎡,平层,塔楼,低楼层(共25层),暂无数据,暂无,东北,钢混结构,其他,,有,菜市场、商场、公交站、地铁、银行、医院等配套都完善~、成熟。银行：工行、建行、中行等；医院：一五七医院~、南方医院~、京溪社区医院等；商场：乐购、广白白货、摩登白货、太阳城广场等,地铁3号线~、距离约700米。小区门口有公交车站~、有126~、136~、16~、241~、502~、旅游3等
南湖半岛花园 精装大两房 东向望花园 视野开阔,250,27169,白云,2室2厅1卫,92.02㎡,平层,塔楼,低楼层(共9层),暂无数据,77.53㎡,东,钢混结构,简装,,有,,
梅苑小区电梯中层三房~、房型方正实用.,242,31531,白云,3室1厅1卫,76.75㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,精装,,有,本小区共21栋楼~、分别一栋梅苑幼儿园~、一栋星光老年之光~、19栋住宅小区绿化好小区户型方正~、距离3号线梅花园站100米~、配套完善。,途经线路：16路179路219路498路241路504路560路56路701路804路833路836路862路862B路高峰快线48高峰快线19夜24路夜47路；地铁：三号线梅花园地铁口100米
盈翠华庭 南向三房 户型方正实用,252,31899,白云,3室1厅1卫,79㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南北,钢混结构,其他,,,有菜市场沃尔玛商场凯德广场~、5号停机坪体育馆云溪生态公园儿童公园白云山柯子岭菜市场云苑市场白云市场步行街车站地铁二号线飞翔公园站,小区距离盈翠华庭公交站约100米~、公交路线有76、34、36、38、265、544、547、841大学城1号线等多路公交~、地铁12号线小金钟站距离300
此房满五年~、通风采光好~、配套齐全~、看房方便,320,34243,白云,3室2厅2卫,93.45㎡,平层,塔楼,低楼层(共32层),暂无数据,75.55㎡,北,钢混结构,简装,,有,有正大商场、711便利店、OK便利店~、美容院、美发店、面包店；会所(羽毛球场、乒乓球场、大型足交通球场地、篮球场地)等生活配套设施完善！还有新开业云门商场~、商场内有电影院~、东海酒家~、盒马生鲜等,有公交76路、803路、667路、539路、924路、509路等线路~、地铁2号线和地铁3号线14号线嘉禾望岗站~、交通方便。
保利紫云 3室2厅 东,360,39080,白云,3室2厅1卫,92.12㎡,平层,塔楼,低楼层(共32层),暂无数据,暂无,东,钢混结构,精装,,有,,
半岛E区西南望花园一房 户型方正 采光很好,148,29725,白云,2室1厅1卫,49.79㎡,平层,塔楼,高楼层(共22层),暂无数据,暂无,南,钢混结构,其他,,有,内设商场~、便利店~、邮局~、银行（建设银行、工商银行、邮政储蓄等）；门口有省中医院附属门诊~、有松洲菜肉市场~、购物买菜方便；有肯德基、美容院等；小区A区一楼为铺位~、内有许多饭馆等,13号线地铁正在建设中。公交：114、198、290、291B、42、46、521、527、B3A、B3B、B3、563、广478、夜19路、夜30路、夜3路、夜45路、夜76路、夜96路、广高峰快线30路、高峰快线16路、高峰快线25路、佛276路、佛276（干）路。地铁：6号线沙贝站、5号线西场站
荷塘月色三期小高层  一梯两户 南北对流 通风采光好,510,38462,白云,3室2厅2卫,132.6㎡,错层,塔楼,高楼层(共9层),暂无数据,109.66㎡,南北,钢混结构,精装,,有,旺家商场、钱大妈、果园、大森林药房、肉菜市场公园：白云山风景区、南湖风景区、新体育馆、雕塑公园、真功夫、白云汇、电影院、美容院、靓车一组汽车服等,地铁2号线~、萧岗站1.1KM~、新市墟地铁站（在建）公交车：祥景花园站、安华装饰城站~、途经线路有126路、663、244短线、244路、265路、268路、291A、291B、36路、563路、803路、810路、832路、841路、高峰快线5、夜22路、夜9路、615路等多条公交接驳
富力半岛  全新精装两房  中层望泳池园林  视野开阔,238,36672,白云,2室2厅1卫,64.9㎡,平层,塔楼,中楼层(共18层),暂无数据,暂无,东北,钢混结构,其他,,有,小区有商场~、邮局~、银行(建设银行、工商银行、邮政储蓄等)出小区500米范围内：妇产玛莱医院~、有松洲菜肉市场~、购物买菜方便;有肯德基、美容院等,13号线地铁正在建设中。公交：114、198、290、291B、42、46、521、527、B3A、B3B、B3、563、广478、夜19路、夜30路、夜3路、夜45路、夜76路、夜96路、广高峰快线30路、高峰快线16路、高峰快线25路、佛276路、佛276（干）路。地铁：6号线沙贝站、5号线西场站
准电梯高层 地铁口走路5分 钟 中医学院格局方正采光好,168,31597,白云,2室1厅1卫,53.17㎡,平层,塔楼,高楼层(共8层),暂无数据,暂无,南,钢混结构,简装,,,,中医药大学公交站~、公交广园新村站：175、179、181、、189、199、210、241、24、257、265、273、278、298、32、38路等公交站童心北站：189、481路环线、93路、大学城专线1路~、地铁11号线广园新村站（在建）5号线广州火车站~、2号线飞翔公园站
楼层好~、南向格局好~、保养好~、业主有心卖房,110,23626,白云,1室1厅1卫,46.56㎡,平层,板楼,高楼层(共7层),暂无数据,暂无,南,钢混结构,简装,,,,地铁：8号同德站~、大约200米左右~、公交：134、175、176、179、17、196、212、215、228、238、241、524、527、543、545、62、71、80、832、高峰快线17、高峰快线2、高峰快线3、夜15、夜21、夜2公交线~、公交直达天河~、广州火车站
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
合益小区 格局方正 实用两房 厅出阳台,138,15484,白云,2室1厅1卫,89.13㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,,,地铁2号线、地铁8号线聚龙地铁站~、公车:185路7路975路424路103路105路115路113路63路555路556路540路等等
富力半岛  中层单位  户型方正  采光充足,160,24761,白云,2室1厅1卫,64.62㎡,平层,塔楼,中楼层(共7层),暂无数据,57.63㎡,东北,钢混结构,其他,,,,有广州五号线西场站、六号线沙贝站~、有公交站~、公车有：521路、527路、198路、114路、55路、478路、B3路、46路、42路、283路、12路、276路、563路等等
